TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionType_Encoded,Channel_Encoded,CustomerAge_Binned,TransactionAmountNorm,CustomerAgeNorm,AccountBalanceNorm,Cluster
14.09,Debit,San Diego,ATM,70,Doctor,81,1,5112.21,1,0,Senior,0.015316801966929883,0.8387096774193548,0.33683185966818,2
376.24,Debit,Houston,ATM,68,Doctor,141,1,13758.91,1,0,Senior,0.41639994240971057,0.8064516129032258,0.9180546275595326,2
126.29,Debit,Mesa,Online,19,Student,56,1,1122.35,1,2,Young Adult,0.13957892638410507,0.016129032258064557,0.06863734931174438,0
184.5,Debit,Raleigh,Online,26,Student,25,1,8569.06,1,2,Young Adult,0.2040468253352973,0.12903225806451613,0.569197956003802,0
13.45,Credit,Atlanta,Online,26,Student,198,1,7429.4,0,2,Young Adult,0.014607998405191985,0.12903225806451613,0.4925911187531677,0
92.15,Debit,Oklahoma City,ATM,18,Student,172,1,781.68,1,0,Child,0.10176868638764909,0.0,0.045737843102722775,2
7.08,Credit,Seattle,ATM,37,Doctor,139,1,13316.71,0,0,Adult,0.007553187954769473,0.30645161290322587,0.8883303734554748,2
171.42,Credit,Indianapolis,Branch,67,Retired,291,1,2796.24,0,1,Senior,0.189560652542279,0.7903225806451613,0.18115460779713835,1
106.23,Credit,Detroit,Branch,51,Engineer,86,1,9095.14,0,1,Middle Age,0.11736236474588284,0.532258064516129,0.6045605421617909,1
815.96,Debit,Nashville,ATM,55,Doctor,120,1,1021.88,1,0,Middle Age,0.903392289546255,0.5967741935483871,0.06188385358620237,2
17.78,Credit,Albuquerque,Online,52,Engineer,59,1,7599.52,0,2,Middle Age,0.01940349750257495,0.5483870967741935,0.5040264197666963,0
190.02,Debit,Memphis,Online,21,Student,173,1,1528.81,1,2,Young Adult,0.21016025605528668,0.04838709677419356,0.09595919536134934,0
494.52,Credit,Mesa,Branch,24,Student,111,1,1620.02,0,1,Young Adult,0.5473957006633957,0.09677419354838712,0.10209024288923516,1
781.76,Debit,Memphis,ATM,26,Student,123,1,189.69,1,0,Young Adult,0.865515599215886,0.12903225806451613,0.005944850820811549,2
166.99,Debit,Louisville,Online,18,Student,134,1,299.93,1,2,Child,0.1846544028883745,0.0,0.013355076448200345,0
465.45,Debit,Denver,ATM,36,Engineer,129,1,3465.54,1,0,Adult,0.5152005138825821,0.29032258064516125,0.22614430312017286,2
555.8,Credit,Austin,Branch,19,Student,158,1,1131.26,0,1,Young Adult,0.6152636416997994,0.016129032258064557,0.06923627084966197,1
492.93,Debit,Columbus,Online,39,Engineer,234,1,5109.97,1,2,Adult,0.5456347668147031,0.33870967741935487,0.3366812890458528,0
18.68,Credit,Albuquerque,Branch,59,Retired,106,1,7948.37,0,1,Middle Age,0.020400252511268865,0.6612903225806451,0.5274757776233234,1
71.48,Credit,Columbus,Online,18,Student,169,1,6568.59,0,2,Child,0.07887654635464543,0.0,0.4347283074114356,0
59.32,Debit,Los Angeles,Branch,71,Retired,38,1,5750.89,1,1,Senior,0.06540927868162537,0.8548387096774193,0.3797633083592239,1
85.77,Debit,Las Vegas,Branch,38,Doctor,93,1,9146.19,1,1,Adult,0.09470280088157441,0.32258064516129037,0.607992073532239,1
52.2,Debit,Atlanta,Online,39,Engineer,120,1,8974.93,1,2,Adult,0.057523839057291255,0.33870967741935487,0.5964801428269905,0
345.84,Debit,Fort Worth,Online,22,Student,142,3,1402.5,1,2,Young Adult,0.3827317732271604,0.06451612903225812,0.0874687599568185,0
145.54,Debit,Raleigh,Online,21,Student,96,1,1930.96,1,2,Young Adult,0.16089840851450277,0.04838709677419356,0.12299132740103008,0
7.49,Credit,Houston,Online,65,Retired,276,1,3634.67,0,2,Senior,0.008007265236507813,0.7580645161290323,0.23751305729615496,0
246.93,Debit,Miami,ATM,23,Student,158,5,673.35,1,0,Young Adult,0.2731883977716988,0.08064516129032262,0.03845600581847905,2
40.32,Debit,Milwaukee,Branch,37,Engineer,95,1,2686.52,1,1,Adult,0.04436667294253153,0.30645161290322587,0.1737793360642184,1
127.45,Debit,Las Vegas,Online,44,Doctor,197,1,1772.06,1,2,Adult,0.14086363283975503,0.4193548387096775,0.11231022387969408,0
56.17,Debit,Detroit,Branch,27,Student,283,1,1351.69,1,1,Young Adult,0.061920636151196654,0.14516129032258068,0.08405336115304833,1
28.31,Credit,Miami,Online,59,Doctor,20,1,8334.47,0,2,Middle Age,0.031065531104293796,0.6612903225806451,0.5534290442664186,0
59.12,Debit,Baltimore,ATM,29,Doctor,257,1,9823.64,1,0,Young Adult,0.06518777756858227,0.1774193548387097,0.6535296039320443,2
396.45,Debit,New York,ATM,49,Engineer,168,3,9690.15,1,0,Middle Age,0.4387826298827151,0.5,0.6445565359077325,2
877.81,Debit,Los Angeles,Online,22,Student,150,1,399.0,1,2,Young Adult,0.9718915087548313,0.06451612903225812,0.020014465534787865,0
255.26,Credit,San Francisco,Branch,45,Doctor,50,1,14815.87,0,1,Adult,0.28241391912994357,0.435483870967742,0.9891024512090688,1
124.76,Debit,Seattle,Branch,49,Engineer,45,1,5764.72,1,1,Middle Age,0.1378844428693254,0.5,0.3806929475140387,1
78.13,Debit,Milwaukee,Branch,26,Student,145,1,900.61,1,1,Young Adult,0.08624145836332826,0.12903225806451613,0.05373220208190774,1
649.28,Debit,San Jose,ATM,75,Retired,137,1,4875.86,1,0,Senior,0.7187932619361411,0.9193548387096775,0.3209446424418253,2
795.31,Debit,Mesa,ATM,66,Doctor,90,2,7914.88,1,0,Senior,0.8805222996245554,0.7741935483870968,0.5252246123814761,2
335.63,Debit,Oklahoma City,Online,55,Retired,216,1,1019.39,1,2,Middle Age,0.3714241414063105,0.5967741935483871,0.061716478206919,0
328.47,Debit,San Antonio,ATM,63,Retired,119,1,4323.66,1,0,Senior,0.3634944015593678,0.7258064516129032,0.28382629527705666,2
34.02,Debit,Philadelphia,Online,38,Doctor,19,1,14214.48,1,2,Adult,0.037389387881674105,0.32258064516129037,0.9486776000656059,0
241.42,Credit,Charlotte,Online,57,Doctor,116,1,13357.02,0,2,Middle Age,0.26708604210736153,0.6290322580645161,0.8910399724670863,0
55.32,Debit,Tucson,ATM,19,Student,117,1,241.79,1,0,Young Adult,0.06097925642076351,0.016129032258064557,0.009446962170475522,2
304.31,Debit,Louisville,Branch,27,Student,33,1,868.61,1,1,Young Adult,0.33673706710376217,0.14516129032258068,0.05158119319151912,1
435.27,Debit,Chicago,Branch,74,Retired,90,1,4673.28,1,1,Senior,0.4817759959243794,0.903225806451613,0.3073274117851088,1
164.49,Debit,Baltimore,Branch,26,Student,75,1,1509.27,1,1,Young Adult,0.18188563897533586,0.12903225806451613,0.09464573555765579,1
510.24,Debit,Oklahoma City,Online,19,Student,105,1,781.7,1,2,Young Adult,0.5648056881485829,0.016129032258064557,0.04573918748327928,0
626.9,Debit,Denver,Online,26,Student,138,1,265.51,1,2,Young Adult,0.694007287386619,0.12903225806451613,0.011041397510476086,0
22.01,Credit,Sacramento,Online,41,Engineer,175,1,1335.09,0,2,Adult,0.024088246043436366,0.3709677419354839,0.08293752529115922,0
425.34,Credit,Kansas City,Online,69,Retired,121,1,3907.54,0,2,Senior,0.4707784656617899,0.8225806451612903,0.2558551134186656,0
424.56,Debit,Omaha,Online,51,Engineer,264,1,5183.85,1,2,Middle Age,0.4699146113209218,0.532258064516129,0.34164743082153753,0
85.43,Debit,Virginia Beach,Branch,67,Doctor,145,1,14904.9,1,1,Senior,0.09432624898940117,0.7903225806451613,0.9950869612562968,1
169.5,Debit,San Diego,Branch,28,Student,142,1,918.88,1,1,Young Adult,0.18743424185706534,0.16129032258064518,0.05496029372026398,1
104.63,Debit,Omaha,ATM,62,Retired,90,1,4477.78,1,0,Senior,0.11559035584153808,0.7096774193548387,0.29418609184539085,2
